Cod_Capitulo,Capitulo,Cod_SubCapitulo,SubCapitulo,Cod_Unidad_Ejecutora,Unidad_Ejecutora
205,MINISTERIO DE HACIENDA,1,MINISTERIO DE HACIENDA,12,DIRECCION GENERAL DE JUBILACIONES Y PENSIONES A CARGO DEL ESTADO
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,1,MINISTERIO DE EDUCACION
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,2,OFICINA DE COOPERACIÓN INTERNACIONAL (OCI)
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,4,INSTITUTO NACIONAL DE EDUCACIÓN FISICA
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,5,INSTITUTO NACIONAL DE BIENESTAR MAGISTERIAL
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,6,INSTITUTO DOM. DE EVALUACIÓN E INVESTIGACIÓN DE LA CALIDAD EDUCATIVA
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,7,INSTITUTO NACIONAL DE FORMACIÓN Y CAPACITACIÓN MAGISTERIAL
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,8,INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE  SALOME UREÑA
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,10,INSTITUTO NACIONAL DE BIENESTAR ESTUDIANTIL (INABIE)
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,11,CENTRO DE ATENCIÓN INTEGRAL PARA LA DISCAPACIDAD (CAID)
206,MINISTERIO DE EDUCACIÓN,1,MINISTERIO DE EDUCACION,12,DIRECCION DE INFRAESTRUCTURA ESCOLAR
207,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,1,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,1,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL
207,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,1,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,7,CONSEJO NACIONAL PARA EL VIH SIDA
207,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,1,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,17,PROGRAMA DE MEDICAMENTOS ESENCIALES
207,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,1,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,32,"DIRECCIÓN GENERAL DE MEDICAMENTOS, ALIMENTOS Y PRODUCTOS SANITARIOS (DIGEMAPS)"
208,MINISTERIO DE DEPORTES Y RECREACIÓN,1,MINISTERIO DE DEPORTES Y RECREACIÓN,1,MINISTERIO DE DEPORTES Y RECREACIÓN
208,MINISTERIO DE DEPORTES Y RECREACIÓN,1,MINISTERIO DE DEPORTES Y RECREACIÓN,2,COMISIÓN HÍPICA NACIONAL
208,MINISTERIO DE DEPORTES Y RECREACIÓN,1,MINISTERIO DE DEPORTES Y RECREACIÓN,3,DIRECCION DEL COMISIONADO NACIONAL DE BEISBOL
209,MINISTERIO DE TRABAJO,1,MINISTERIO DE TRABAJO,1,MINISTERIO DE TRABAJO
210,MINISTERIO DE AGRICULTURA,1,MINISTERIO DE AGRICULTURA,1,MINISTERIO DE AGRICULTURA
210,MINISTERIO DE AGRICULTURA,1,MINISTERIO DE AGRICULTURA,2,DIRECCION GENERAL DE GANADERIA
210,MINISTERIO DE AGRICULTURA,1,MINISTERIO DE AGRICULTURA,3,OFICINA DE TRATADOS COMERCIALES AGRICOLAS
210,MINISTERIO DE AGRICULTURA,1,MINISTERIO DE AGRICULTURA,5,DIRECCION EJECUTIVA DE LA COMISION DE FOMENTO A LA TECNIFICACION DEL SISTEMA NACIONAL DE RIEGO
210,MINISTERIO DE AGRICULTURA,1,MINISTERIO DE AGRICULTURA,6,CONSEJO NACIONAL DE PRODUCCIÓN PECUARIA (CONAPROPE)
210,MINISTERIO DE AGRICULTURA,1,MINISTERIO DE AGRICULTURA,7,CONSEJO NACIONAL PARA LA REGLAMENTACIÓN Y FOMENTO DE LA INDUSTRIA LECHERA
211,MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1,MINISTERIO DE OBRAS PUBLICAS Y COMUNICACIONES,1,MINISTERIO DE OBRAS PUBLICAS Y COMUNICACIONES
211,MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1,MINISTERIO DE OBRAS PUBLICAS Y COMUNICACIONES,2,DIRECCION GENERAL DE EMBELLECIMIENTO DE CARRETERAS Y AVENIDAS DE CIRCUNV.
211,MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1,MINISTERIO DE OBRAS PUBLICAS Y COMUNICACIONES,3,OFICINA PARA EL REORDENAMIENTO DEL TRANSPORTE
211,MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1,MINISTERIO DE OBRAS PUBLICAS Y COMUNICACIONES,6,OFICINA NAC. DE EVALUACIÓN SÍSMICA Y VULNERABILIDAD DE INFRAESTRUCTURA
211,MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1,MINISTERIO DE OBRAS PUBLICAS Y COMUNICACIONES,11,JUNTA DE AVIACIÓN CIVIL
212,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",1,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",1,"MINISTERIO DE INDUSTRIA, COMERCIO y MIPYMES (MICM)"
212,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",1,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",7,INDUSTRIA NACIONAL DE LA AGUJA
212,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",1,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",8,OFICINA NACIONAL DE DERECHO DE AUTOR
212,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",1,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",9,DIRECCION DE FOMENTO Y DESARROLLO DE LA ARTESANIA NACIONAL (FODEARTE)
212,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",1,"MINISTERIO DE INDUSTRIA, COMERCIO Y MIPYMES (MICM)",10,CONSEJO DE COORDINACIÓN DE LA ZONA ESPECIAL DE DESARROLLO FRONTERIZO (CCDF)
213,MINISTERIO DE TURISMO,1,MINISTERIO DE TURISMO,1,MINISTERIO DE TURISMO
213,MINISTERIO DE TURISMO,1,MINISTERIO DE TURISMO,2,COMITE EJECUTOR DE INFRAESTRUCTA EN ZONAS TURISTICAS (CEIZTUR)
214,PROCURADURÍA GENERAL DE LA REPÚBLICA,1,PROCURADURIA GENERAL DE LA REPUBLICA,1,PROCURADURIA GENERAL DE LA REPUBLICA DOMINICANA
215,MINISTERIO DE LA MUJER,1,MINISTERIO DE LA  MUJER,1,MINISTERIO DE LA MUJER
216,MINISTERIO DE CULTURA,1,MINISTERIO DE CULTURA,1,MINISTERIO DE CULTURA
216,MINISTERIO DE CULTURA,1,MINISTERIO DE CULTURA,2,ORQUESTA SINFÓNICA NACIONAL
216,MINISTERIO DE CULTURA,1,MINISTERIO DE CULTURA,3,BIBLIOTECA NACIONAL PEDRO HENRÍQUEZ UREÑA
216,MINISTERIO DE CULTURA,1,MINISTERIO DE CULTURA,5,DIRECCIÓN GENERAL DE BELLAS ARTES
216,MINISTERIO DE CULTURA,1,MINISTERIO DE CULTURA,6,DIRECCIÓN GENERAL DE MUSEOS
217,MINISTERIO DE LA JUVENTUD,1,MINISTERIO DE LA JUVENTUD,1,MINISTERIO DE LA JUVENTUD
218,MINISTERIO DE MEDIO AMBIENTE Y RECURSOS NATURALES,1,MINISTERIO DE MEDIO AMBIENTE Y REC. NAT.,1,MINISTERIO  DE MEDIO AMBIENTE Y RECURSOS NATURALES
218,MINISTERIO DE MEDIO AMBIENTE Y RECURSOS NATURALES,1,MINISTERIO DE MEDIO AMBIENTE Y REC. NAT.,7,UNIDAD TÉCNICA EJECUTORA DE PROYECTOS DE DESARROLLO AGROFORESTAL
219,MINISTERIO DE EDUCACIÓN SUPERIOR CIENCIA Y TECNOLOGÍA,1,MINISTERIO DE EDUCACION SUPERIOR CIENCIA Y TECNOLOGIA,1,"MINISTERIO DE EDUCACION SUPERIOR, CIENCIA Y TECNOLOGIA"
219,MINISTERIO DE EDUCACIÓN SUPERIOR CIENCIA Y TECNOLOGÍA,1,MINISTERIO DE EDUCACION SUPERIOR CIENCIA Y TECNOLOGIA,2,INSTITUTO TECNOLÓGICO DE LAS AMÉRICAS
219,MINISTERIO DE EDUCACIÓN SUPERIOR CIENCIA Y TECNOLOGÍA,1,MINISTERIO DE EDUCACION SUPERIOR CIENCIA Y TECNOLOGIA,3,INSTITUTO TECNICO SUPERIOR COMUNITARIO
219,MINISTERIO DE EDUCACIÓN SUPERIOR CIENCIA Y TECNOLOGÍA,1,MINISTERIO DE EDUCACION SUPERIOR CIENCIA Y TECNOLOGIA,4,COMISION INTERNACIONAL ASESORA CIENCIA Y TECNOLOGIA
220,"MINISTERIO DE ECONOMÍA, PLANIFICACIÓN Y DESARROLLO",1,"MINISTERIO DE ECONOMIA, PLANIFICACION Y DESARROLLO",1,"MINISTERIO DE ECONOMIA, PLANIFICACION Y DESARROLLO"
220,"MINISTERIO DE ECONOMÍA, PLANIFICACIÓN Y DESARROLLO",1,"MINISTERIO DE ECONOMIA, PLANIFICACION Y DESARROLLO",5,DIRECCION GENERAL DE COOPERACION MULTILATERAL
220,"MINISTERIO DE ECONOMÍA, PLANIFICACIÓN Y DESARROLLO",1,"MINISTERIO DE ECONOMIA, PLANIFICACION Y DESARROLLO",9,OFICINA NACIONAL DE ESTADISTICAS
220,"MINISTERIO DE ECONOMÍA, PLANIFICACIÓN Y DESARROLLO",1,"MINISTERIO DE ECONOMIA, PLANIFICACION Y DESARROLLO",17,GOBERNACION DEL EDIFICIO DE OFICINAS GUBERNAMENTALES
220,"MINISTERIO DE ECONOMÍA, PLANIFICACIÓN Y DESARROLLO",1,"MINISTERIO DE ECONOMIA, PLANIFICACION Y DESARROLLO",18,SISTEMA ÚNICO DE BENEFICIARIOS
221,MINISTERIO DE ADMINISTRACIÓN PÚBLICA,1,MINISTERIO DE ADMINISTRACION PUBLICA (MAP),1,MINISTERIO DE ADMINISTRACION PUBLICA
221,MINISTERIO DE ADMINISTRACIÓN PÚBLICA,1,MINISTERIO DE ADMINISTRACION PUBLICA (MAP),2,INSTITUTO NACIONAL DE ADMINISTRACION PUBLICA
221,MINISTERIO DE ADMINISTRACIÓN PÚBLICA,1,MINISTERIO DE ADMINISTRACION PUBLICA (MAP),3,OFICINA GUBERNAMENTAL DE TECNOLOGIA DE LA INFORMACION Y LA COMUNICACION (OGTIC)
222,MINISTERIO DE ENERGIA Y MINAS,1,MINISTERIO DE ENERGIA Y MINAS,1,MINISTERIO DE ENERGIA Y MINAS
222,MINISTERIO DE ENERGIA Y MINAS,1,MINISTERIO DE ENERGIA Y MINAS,2,DIRECCION GENERAL DE MINERIA
223,"MINISTERIO DE LA VIVIENDA, HABITAT Y EDIFICACIONES (MIVHED)",1,"MINISTERIO DE LA VIVIENDA, HABITAT Y EDIFICACIONES (MIVHED)",1,"MINISTERIO DE LA VIVIENDA, HABITAT Y EDIFICACIONES (MIVHED)"
301,PODER JUDICIAL,1,PODER JUDICIAL,1,CONSEJO DEL PODER JUDICIAL
401,JUNTA CENTRAL ELECTORAL,1,JUNTA CENTRAL ELECTORAL,1,JUNTA CENTRAL ELECTORAL
402,CÁMARA DE CUENTAS,1,CAMARA DE CUENTAS,1,CAMARA DE CUENTAS DE LA REPUBLICA DOMINICANA
